Date,Close
2024-05-01,58254.011719
2024-05-02,59123.433594
2024-05-03,62889.835938
2024-05-04,63891.472656
2024-05-05,64031.132813
2024-05-06,63161.949219
2024-05-07,62334.816406
2024-05-08,61187.941406
2024-05-09,63049.960938
2024-05-10,60792.777344
2024-05-11,60793.710938
2024-05-12,61448.394531
2024-05-13,62901.449219
2024-05-14,61552.789063
2024-05-15,66267.492188
2024-05-16,65231.582031
2024-05-17,67051.875
2024-05-18,66940.804688
2024-05-19,66278.367188
2024-05-20,71448.195313
2024-05-21,70136.53125
2024-05-22,69122.335938
2024-05-23,67929.5625
2024-05-24,68526.101563
2024-05-25,69265.945313
2024-05-26,68518.09375
2024-05-27,69394.554688
2024-05-28,68296.21875
2024-05-29,67578.09375
2024-05-30,68364.992188
2024-05-31,67491.414063
